,,,,,,Quantity,Delta,Price,Price Change,Price Change (%),Period PnL,Traded Delta,Traded PnL,YTD PnL,Period Delta Change,Mkt Value,%Delta,$Gamma,$Vega,$Theta,ImpliedVol
Pod(L2),Book(L3),Desk Strategy,Underlier,Expiry,Ticker,,,,,,,,,,,,,,,,
,,,,,,,1394653036.955346,,,,-51361900.45714639,16434920.614912318,523435.29687736806,370977178.8931919,-33111301.714312203,1325276905.0156856,,2339113.3574420144,46707.19688614896,-194624.81516384383,
Beimnet,,,,,,,5296892.990776977,,,,859257.3828008118,4696488.881214075,461401.74014189374,-2351697.4245429686,4475902.087582019,-8348482.279352071,,-618442.4362909689,-6272.102268811463,-5096.087153880559,
Beimnet,Crypto,,,,,,5991282.287176974,,,,804114.7033808106,4696488.881214075,461401.74014189374,154522.65416239295,4420759.408162018,-7654092.982952073,,-618442.4362909689,-6272.102268811463,-5096.087153880559,
Beimnet,Crypto,Core,,,,,3152016.2117948127,,,,-304369.20020456816,5822642.5430418635,-192420.22021221416,-1148336.5347535468,5710693.563049504,3152016.2117948127,,0.0,0.0,0.0,
Beimnet,Crypto,Core,AKT,,,159156.6288000001,541132.537920001,3.4,-0.27,-7.3569482288828345,-42972.289776000536,0.0,0.0,-1848804.5688040918,-42972.289776000536,541132.537920001,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,AKT,,,159156.6288000001,541132.537920001,3.4,-0.27,-7.3569482288828345,-42972.289776000536,0.0,0.0,-1848804.5688040918,-42972.289776000536,541132.537920001,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,AKT,,AKT,159156.6288000001,541132.537920001,3.4,-0.27,-7.3569482288828345,-42972.289776000536,0.0,0.0,-1848804.5688040918,-42972.289776000536,541132.537920001,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,AVAX,,,123863.40000000002,3730199.368191574,30.115428513924,-2.2084913246469995,-6.832374710976991,-271166.4471617726,3730199.3681915747,-271166.44716177206,-88046.71249284834,3730199.368191573,3730199.368191574,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,AVAX,,,123863.40000000002,3730199.368191574,30.115428513924,-2.2084913246469995,-6.832374710976991,-271166.4471617726,3730199.3681915747,-271166.44716177206,-88046.71249284834,3730199.368191573,3730199.368191574,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,AVAX,,AVAX,123863.40000000002,3730199.368191574,30.115428513924,-2.2084913246469995,-6.832374710976991,-271166.4471617726,3730199.3681915747,-271166.44716177206,-88046.71249284834,3730199.368191573,3730199.368191574,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,BTC,,,172.15203154000537,11348216.438037094,65919.7358086351,-2207.8129955851764,-3.2407051689615605,-167344.65306799242,6018817.879496893,11149.924494550563,161131.92658843752,5840323.301934339,11348216.438037094,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,BTC,,,172.15203154000537,11348216.438037094,65919.7358086351,-2207.8129955851764,-3.2407051689615605,-167344.65306799242,6018817.879496893,11149.924494550563,161131.92658843752,5840323.301934339,11348216.438037094,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,BTC,,BTC,172.15203154000537,11348216.438037094,65919.7358086351,-2207.8129955851764,-3.2407051689615605,-167344.65306799242,6018817.879496893,11149.924494550563,161131.92658843752,5840323.301934339,11348216.438037094,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,ETH,,,-2980.6956317199683,-10390352.852970796,3485.881866769182,-2.5610844265470405,-0.07341626228025833,72345.40021619725,-3926374.704646604,67596.30245500733,422330.0706636959,-3921625.6068854076,-10390352.852970796,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,ETH,,,-2980.6956317199683,-10390352.852970796,3485.881866769182,-2.5610844265470405,-0.07341626228025833,72345.40021619725,-3926374.704646604,67596.30245500733,422330.0706636959,-3921625.6068854076,-10390352.852970796,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,ETH,,ETH,-2980.6956317199683,-10390352.852970796,3485.881866769182,-2.5610844265470405,-0.07341626228025833,72345.40021619725,-3926374.704646604,67596.30245500733,422330.0706636959,-3921625.6068854076,-10390352.852970796,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,LEO,,,40000.0,231285.31964944,5.782132991236,-0.0037552887499998633,-0.0649042734369726,-150.21154999997816,0.0,0.0,71980.49388276,-150.21154999997816,231285.31964944,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,LEO,,,40000.0,231285.31964944,5.782132991236,-0.0037552887499998633,-0.0649042734369726,-150.21154999997816,0.0,0.0,71980.49388276,-150.21154999997816,231285.31964944,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,LEO,,LEO,40000.0,231285.31964944,5.782132991236,-0.0037552887499998633,-0.0649042734369726,-150.21154999997816,0.0,0.0,71980.49388276,-150.21154999997816,231285.31964944,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,SUI,,,-1857957.5,-1527699.9805025,0.822247,-0.02943400000000007,-3.455988803319561,54687.121054999996,0.0,0.0,-27700.288367500063,54687.121054999996,-1527699.9805025,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,SUI,,,-1857957.5,-1527699.9805025,0.822247,-0.02943400000000007,-3.455988803319561,54687.121054999996,0.0,0.0,-27700.288367500063,54687.121054999996,-1527699.9805025,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,SUI,,SUI,-1857957.5,-1527699.9805025,0.822247,-0.02943400000000007,-3.455988803319561,54687.121054999996,0.0,0.0,-27700.288367500063,54687.121054999996,-1527699.9805025,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,WLD,,,-178453.84100000004,-394382.98860999994,2.21,-0.16000000000000014,-6.7510548523206815,28552.614560000133,0.0,0.0,-2844.839880000043,28552.614560000133,-394382.98860999994,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,WLD,,,-178453.84100000004,-394382.98860999994,2.21,-0.16000000000000014,-6.7510548523206815,28552.614560000133,0.0,0.0,-2844.839880000043,28552.614560000133,-394382.98860999994,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,WLD,,WLD,-178453.84100000004,-394382.98860999994,2.21,-0.16000000000000014,-6.7510548523206815,28552.614560000133,0.0,0.0,-2844.839880000043,28552.614560000133,-394382.98860999994,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,XAI,,,-1117776.0,-386381.62992,0.34567,-0.019394999999999996,-5.312752523523208,21679.265519999986,0.0,0.0,163617.38365600005,21679.265519999986,-386381.62992,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,XAI,,,-1117776.0,-386381.62992,0.34567,-0.019394999999999996,-5.312752523523208,21679.265519999986,0.0,0.0,163617.38365600005,21679.265519999986,-386381.62992,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,XAI,,XAI,-1117776.0,-386381.62992,0.34567,-0.019394999999999996,-5.312752523523208,21679.265519999986,0.0,0.0,163617.38365600005,21679.265519999986,-386381.62992,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Locked,,,,1151605.4766290002,22095323.972922754,19.18653950622098,-1.4070298229326035,-6.832374710976991,-830264.7424478005,2599449.9319213373,599449.8859213372,5095323.926925454,1169735.3035521996,22095323.972922754,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Locked,LOCKED_AVAX,,,1151605.4766290002,22095323.972922754,19.18653950622098,-1.4070298229326035,-6.832374710976991,-830264.7424478005,2599449.9319213373,599449.8859213372,5095323.926925454,1169735.3035521996,22095323.972922754,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Locked,LOCKED_AVAX,,,1151605.4766290002,22095323.972922754,19.18653950622098,-1.4070298229326035,-6.832374710976991,-830264.7424478005,2599449.9319213373,599449.8859213372,5095323.926925454,1169735.3035521996,22095323.972922754,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Locked,LOCKED_AVAX,,LOCKED_AVAX,1151605.4766290002,22095323.972922754,19.18653950622098,-1.4070298229326035,-6.832374710976991,-830264.7424478005,2599449.9319213373,599449.8859213372,5095323.926925454,1169735.3035521996,22095323.972922754,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Options ,,,,,14617241.81710386,,,,-545323.2150851743,-3725603.5937491255,54372.07443277075,620018.9363845801,-4943741.319558039,971866.5469748161,,-618442.4362909689,-6272.1022688114645,-5096.087153880561,
Beimnet,Crypto,Options ,BTC,,,,14617241.81710386,,,,-545323.2150851743,-3725603.5937491255,54372.07443277075,620018.9363845801,-4943741.319558039,971866.5469748161,,-618442.4362909689,-6272.1022688114645,-5096.087153880561,
Beimnet,Crypto,Options ,BTC,2024AUG02,,,9077952.133507913,,,,-463680.00032505544,0.0,0.0,-101034.49346564777,350633.58321469114,659106.0777168244,,814313.5835397466,14565.447311789469,-52493.21772705142,
Beimnet,Crypto,Options ,BTC,2024AUG02,BTCUSD-2024AUG02-C-70000=GALAXY_HK,500.0,10952719.45760287,1540.28939898924,-1163.6290477563598,-43.03491657290508,-581801.7260979995,0.0,0.0,-139992.50272519968,475434.68365454476,770144.69949462,33.230471339868835,1057236.4097525442,19362.909201081646,-71630.69337965256,0.6998627730964114
Beimnet,Crypto,Options ,BTC,2024AUG02,BTCUSD-2024AUG02-C-76000=GALAXY_HK,-200.0,-1874767.324094956,555.1931088889778,-590.6254736779829,-51.54615945875247,118121.72577294405,0.0,0.0,38958.00925955191,-124801.10043985359,-111038.62177779556,14.220076135752446,-242922.82621279763,-4797.461889292177,19137.47565260113,0.7546707784345142
Beimnet,Crypto,Options ,BTC,2024AUG30,,-100.0,-1565175.509337886,1838.6306415344516,1838.6306415344516,inf,28635.838408390555,-1565175.509337886,28635.838408390555,28635.838408390555,-1656920.0671740288,-183863.06415344516,23.743655676679108,-91744.55783614283,-6611.387235021673,6038.447968115272,0.6842601225121436
Beimnet,Crypto,Options ,BTC,2024AUG30,BTCUSD-2024AUG30-C-80000=GALAXY_HK,-100.0,-1565175.509337886,1838.6306415344516,1838.6306415344516,inf,28635.838408390555,-1565175.509337886,28635.838408390555,28635.838408390555,-1656920.0671740288,-183863.06415344516,23.743655676679108,-91744.55783614283,-6611.387235021673,6038.447968115272,0.6842601225121436
Beimnet,Crypto,Options ,BTC,2024JUL26,,,9264893.277345072,,,,-136015.28919288958,0.0,0.0,666681.3554174572,-1396450.2514675772,857886.2560386623,,-1260434.9622746876,-3908.795793642963,35986.053981886165,
Beimnet,Crypto,Options ,BTC,2024JUL26,BTCUSD-2024JUL26-C-63000=GALAXY_HK,400.0,22776370.733441275,3231.5961023307827,-2235.2805989595945,-40.88770830393868,-894101.2487683299,0.0,0.0,972649.4317478209,423157.88431152236,1292638.440932313,86.37917936883518,1317259.1330798522,4735.791801206893,-51209.670560737744,0.5318420601810541
Beimnet,Crypto,Options ,BTC,2024JUL26,BTCUSD-2024JUL26-C-66000=GALAXY_HK,-400.0,-13511477.456096202,1086.8804622341268,-1895.254627530383,-63.55361412148655,758085.9595754403,0.0,0.0,-305968.0763303637,-1819608.1357790995,-434752.1848936507,51.24215566988923,-2577694.09535454,-8644.587594849856,87195.72454262391,0.496105686791
Beimnet,Crypto,Options ,BTC,2024SEP27,,-100.0,-2160428.0844112393,3612.627226272256,3612.627226272256,inf,25736.236024380196,-2160428.0844112393,25736.236024380196,25736.236024380196,-2241004.5841311244,-361262.72262722556,32.773615638918194,-80576.4997198851,-10317.366551936297,5372.628623169428,0.6817398056241964
Beimnet,Crypto,Options ,BTC,2024SEP27,BTCUSD-2024SEP27-C-80000=GALAXY_HK,-100.0,-2160428.0844112393,3612.627226272256,3612.627226272256,inf,25736.236024380196,-2160428.0844112393,25736.236024380196,25736.236024380196,-2241004.5841311244,-361262.72262722556,32.773615638918194,-80576.4997198851,-10317.366551936297,5372.628623169428,0.6817398056241964
Beimnet,Crypto,SpecialSits,,,,-1124782.2589999996,-33873299.714644454,30.115428513924,-2.2084913246469995,-6.832374710976991,2484071.8611183534,0.0,0.0,-4568681.585594094,2484071.8611183534,-33873299.714644454,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,SpecialSits,AVAX,,,-1124782.2589999996,-33873299.714644454,30.115428513924,-2.2084913246469995,-6.832374710976991,2484071.8611183534,0.0,0.0,-4568681.585594094,2484071.8611183534,-33873299.714644454,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,SpecialSits,AVAX,,,-1124782.2589999996,-33873299.714644454,30.115428513924,-2.2084913246469995,-6.832374710976991,2484071.8611183534,0.0,0.0,-4568681.585594094,2484071.8611183534,-33873299.714644454,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,SpecialSits,AVAX,,AVAX,-1124782.2589999996,-33873299.714644454,30.115428513924,-2.2084913246469995,-6.832374710976991,2484071.8611183534,0.0,0.0,-4568681.585594094,2484071.8611183534,-33873299.714644454,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,StratOps,,,,0.0,0.0,3.4,-0.27,-7.3569482288828345,0.0,0.0,0.0,156197.91119999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,StratOps,AKT,,,0.0,0.0,3.4,-0.27,-7.3569482288828345,0.0,0.0,0.0,156197.91119999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,StratOps,AKT,,,0.0,0.0,3.4,-0.27,-7.3569482288828345,0.0,0.0,0.0,156197.91119999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,StratOps,AKT,,AKT,0.0,0.0,3.4,-0.27,-7.3569482288828345,0.0,0.0,0.0,156197.91119999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beimnet,StratOps,,,,,-204232.1459999988,-694389.2963999975,3.4,-0.27,-7.3569482288828345,55142.67942000134,0.0,0.0,-2506220.0787053616,55142.67942000134,-694389.2963999975,0.0,0.0,0.0,0.0,0.0
Beimnet,StratOps,,,,,-204232.1459999988,-694389.2963999975,3.4,-0.27,-7.3569482288828345,55142.67942000134,0.0,0.0,-2506220.0787053616,55142.67942000134,-694389.2963999975,0.0,0.0,0.0,0.0,0.0
Beimnet,StratOps,,AKT,,,-204232.1459999988,-694389.2963999975,3.4,-0.27,-7.3569482288828345,55142.67942000134,0.0,0.0,-2506220.0787053616,55142.67942000134,-694389.2963999975,0.0,0.0,0.0,0.0,0.0
Beimnet,StratOps,,AKT,,,-204232.1459999988,-694389.2963999975,3.4,-0.27,-7.3569482288828345,55142.67942000134,0.0,0.0,-2506220.0787053616,55142.67942000134,-694389.2963999975,0.0,0.0,0.0,0.0,0.0
Beimnet,StratOps,,AKT,,AKT,-204232.1459999988,-694389.2963999975,3.4,-0.27,-7.3569482288828345,55142.67942000134,0.0,0.0,-2506220.0787053616,55142.67942000134,-694389.2963999975,0.0,0.0,0.0,0.0,0.0
Bouchra,,,,,,,28862369.524970867,,,,-859682.4648274262,-3472487.4102553637,70262.62053762513,1891896.0812273608,-4226843.862950467,22756891.425837,,175588.87519250606,-228.6924063989254,-12921.572585704453,
Bouchra,Crypto,,,,,,27955517.63907799,,,,-846960.6126242755,-3472487.4102553637,70262.62053762513,1941113.7650797272,-4214122.010747315,22689032.451021176,,175588.8753101897,-2513.773594117705,-12921.39643134658,
Bouchra,Crypto,Core,,,,,18690360.38384558,,,,-705210.7290538707,-2951762.085966792,51180.236680816946,1694055.7114683767,-3708153.0517014796,18690360.38384558,,0.0,0.0,0.0,
Bouchra,Crypto,Core,BTC,,,178.7127395,11780696.573477428,65919.7358086351,-2207.8129955851764,-3.2407051689615605,-430107.9653101364,-1969001.4090148928,30403.010935937287,1226681.3640637088,-2429512.3852609666,11780696.573477428,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,BTC,,,178.7127395,11780696.573477428,65919.7358086351,-2207.8129955851764,-3.2407051689615605,-430107.9653101364,-1969001.4090148928,30403.010935937287,1226681.3640637088,-2429512.3852609666,11780696.573477428,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,BTC,,BTC,178.7127395,11780696.573477428,65919.7358086351,-2207.8129955851764,-3.2407051689615605,-430107.9653101364,-1969001.4090148928,30403.010935937287,1226681.3640637088,-2429512.3852609666,11780696.573477428,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,DOGE,,,6374114.824592309,836420.75370448,0.131221475722,-0.01017675043500002,-7.197226380831944,-64867.77581390989,0.0,0.0,-123591.24279068699,-64867.77581390989,836420.75370448,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,DOGE,,,6374114.824592309,836420.75370448,0.131221475722,-0.01017675043500002,-7.197226380831944,-64867.77581390989,0.0,0.0,-123591.24279068699,-64867.77581390989,836420.75370448,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,DOGE,,DOGE,6374114.824592309,836420.75370448,0.131221475722,-0.01017675043500002,-7.197226380831944,-64867.77581390989,0.0,0.0,-123591.24279068699,-64867.77581390989,836420.75370448,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,ETH,,,675.9318431499998,2356218.555208456,3485.881866769182,-2.5610844265470405,-0.07341626228025833,5685.641835765418,3875.4708216690124,7413.913036447804,408024.6339010683,2147.19962098651,2356218.555208456,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,ETH,,,675.9318431499998,2356218.555208456,3485.881866769182,-2.5610844265470405,-0.07341626228025833,5685.641835765418,3875.4708216690124,7413.913036447804,408024.6339010683,2147.19962098651,2356218.555208456,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,ETH,,ETH,675.9318431499998,2356218.555208456,3485.881866769182,-2.5610844265470405,-0.07341626228025833,5685.641835765418,3875.4708216690124,7413.913036447804,408024.6339010683,2147.19962098651,2356218.555208456,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,SOL,,,16689.869965600003,2905463.218557144,174.08543173468,-8.513620272894002,-4.662466852533751,-176979.18602410203,-986636.1477735682,13363.312708431855,542972.5986682784,-1176978.646506102,2905463.218557144,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,SOL,,,16689.869965600003,2905463.218557144,174.08543173468,-8.513620272894002,-4.662466852533751,-176979.18602410203,-986636.1477735682,13363.312708431855,542972.5986682784,-1176978.646506102,2905463.218557144,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,SOL,,SOL,16689.869965600003,2905463.218557144,174.08543173468,-8.513620272894002,-4.662466852533751,-176979.18602410203,-986636.1477735682,13363.312708431855,542972.5986682784,-1176978.646506102,2905463.218557144,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,STX,,,269995.74,478390.07664306817,1.771843054424,-0.113605352627,-6.025375831136548,-30672.961250487802,0.0,0.0,-343202.84859819175,-30672.961250487802,478390.07664306817,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,STX,,,269995.74,478390.07664306817,1.771843054424,-0.113605352627,-6.025375831136548,-30672.961250487802,0.0,0.0,-343202.84859819175,-30672.961250487802,478390.07664306817,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,STX,,STX,269995.74,478390.07664306817,1.771843054424,-0.113605352627,-6.025375831136548,-30672.961250487802,0.0,0.0,-343202.84859819175,-30672.961250487802,478390.07664306817,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,TON,,,48638.1323,333171.20625499997,6.85,-0.16999999999999993,-2.421652421652421,-8268.482490999973,0.0,0.0,-16828.793775800033,-8268.482490999973,333171.20625499997,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,TON,,,48638.1323,333171.20625499997,6.85,-0.16999999999999993,-2.421652421652421,-8268.482490999973,0.0,0.0,-16828.793775800033,-8268.482490999973,333171.20625499997,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,TON,,TON,48638.1323,333171.20625499997,6.85,-0.16999999999999993,-2.421652421652421,-8268.482490999973,0.0,0.0,-16828.793775800033,-8268.482490999973,333171.20625499997,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,E_CRYPTO_EQUITY ,,,,,1496443.972396564,,,,-35433.619617656426,0.0,0.0,356941.56737147615,-35433.619617656426,1607466.8244548377,,0.24264024123255012,-419.01355456405304,0.08960365394249353,
Bouchra,Crypto,E_CRYPTO_EQUITY ,BTC,,,,1496443.972396564,,,,-35433.619617656426,0.0,0.0,356941.56737147615,-35433.619617656426,1607466.8244548377,,0.24264024123255012,-419.01355456405304,0.08960365394249353,
Bouchra,Crypto,E_CRYPTO_EQUITY ,BTC,,,,1632228.9936288309,,,,-41543.57899418682,0.0,0.0,342769.0086288092,-41543.57899418682,1632228.9936288309,,0.0,0.0,0.0,
Bouchra,Crypto,E_CRYPTO_EQUITY ,BTC,,FIP,27144.0,275946.02976540447,10.166004633267185,0.27988866457151396,2.831128680442145,7597.297911129169,0.0,0.0,26991.259765382783,7597.297911129169,275946.02976540447,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,E_CRYPTO_EQUITY ,BTC,,WULF,245800.0,1356282.9638634264,5.5178314233662595,-0.19992220059119603,-3.4965165297350285,-49140.87690531599,0.0,0.0,315777.7488634264,-49140.87690531599,1356282.9638634264,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,E_CRYPTO_EQUITY ,BTC,2024AUG16,,-865.0,-135785.02123226697,0.28626785172246466,-35.39280802557632,-99.197659006901,6109.959376530394,0.0,0.0,14172.558742666944,6109.959376530394,-24762.169173993192,28.437844775125022,0.24264024123255012,-419.01355456405304,0.08960365394249353,1.311127280615833
Bouchra,Crypto,E_CRYPTO_EQUITY ,BTC,2024AUG16,WULF/16Aug2024/C7.0,-865.0,-135785.02123226697,0.28626785172246466,-35.39280802557632,-99.197659006901,6109.959376530394,0.0,0.0,14172.558742666944,6109.959376530394,-24762.169173993192,28.437844775125022,0.24264024123255012,-419.01355456405304,0.08960365394249353,1.311127280615833
Bouchra,Crypto,Options ,,,,,6245210.099852383,,,,-241679.59220624436,-524986.0268110719,13897.478194283212,-225044.54712454102,-604974.4645416511,867702.0597372948,,175588.63266994862,-2094.7600395536556,-12921.486035000515,
Bouchra,Crypto,Options ,BTC,,,,7090302.0717516225,,,,-246620.4782146649,-524986.0268110719,13897.478194283212,-85848.04603276258,-620264.6041560739,1035398.6253548822,,165239.37906394628,1941.454614775385,-12024.911219461315,
Bouchra,Crypto,Options ,BTC,2024AUG02,,,5664170.438362008,,,,-293328.28150140785,-524986.0268110719,13897.478194283212,-28853.09721133292,-385378.0128582169,434841.74088051234,,446833.773648546,7715.504886619912,-26689.587545082508,
Bouchra,Crypto,Options ,BTC,2024AUG02,BTCUSD-2024AUG02-C-69000=GALAXY_HK,150.0,3739323.392684337,1825.2445700564858,-1282.2382093412634,-41.2629224477881,-192332.7526116658,0.0,0.0,10839.664297996555,143249.50857305748,273786.68550847284,37.81693344503673,335582.2611847233,6081.369144006589,-22260.71935519239,0.6924983698270031
Bouchra,Crypto,Options ,BTC,2024AUG02,BTCUSD-2024AUG02-C-70000=GALAXY_HK,250.0,5476359.728801435,1540.28939898924,-1163.6290477563598,-43.03491657290508,-290900.86304899974,0.0,0.0,-69996.25136259984,237717.34182727238,385072.34974731,33.230471339868835,528618.2048762721,9681.454600540823,-35815.34668982628,0.6998627730964114
